cluster_key,cluster_key_registry,stratum,ra_deg,dec_deg,distance_kpc,distance_sigma_kpc,distance_frac_sigma,pmra_masyr,pmdec_masyr,pmra_sigma_masyr,pmdec_sigma_masyr,pmra_pmdec_corr,pm_vector_frac_sigma,vlos_kms,vlos_sigma_kms,vlos_abs_frac_sigma,X_kpc,Y_kpc,Z_kpc,R_GC_kpc,U_kms,V_kms,W_kms
NGC 6402,NGC 6402,S1,264.400651,-3.245916,9.14,0.25,0.0273522975929978,-3.599,-5.055,0.006,0.006,0.12,0.0010202635023777297,-60.71,0.45,0.007412287926206556,-0.06,3.21,2.34,3.2105606986942328,-46.65,-20.92,20.2
NGC 6522,NGC 6522,S1,270.891958,-30.033974,7.29,0.2099999999999999,0.0288065843621399,2.586,-6.432,0.014,0.014,0.2899999999999999,0.0018054638284826783,-15.23,0.4899999999999999,0.03217334208798423,0.9,0.13,-0.5,0.9093404203047394,14.18,101.3,-177.94
NGC 6544,NGC 6544,S1,271.833833,-24.998222,2.58,0.0599999999999999,0.0232558139534883,-2.269,-18.615,0.0259999999999999,0.0259999999999999,0.02,0.0013897879087070345,-38.46,0.67,0.017420696827873117,5.61,0.26,-0.1,5.6160217236047085,8.81,36.42,-77.57
NGC 6304,NGC 6304,S2,258.634399,-29.462028,6.15,0.1499999999999999,0.024390243902439,-4.073,-1.089,0.012,0.0109999999999999,0.05,0.0028635865245215247,-108.62,0.39,0.003590498987295157,2.07,-0.45,0.58,2.1183484132691675,110.98,166.2,75.17
NGC 6441,NGC 6441,S2,267.554413,-37.051445,12.73,0.16,0.0125687352710133,-2.566,-5.373,0.02,0.02,0.17,0.00357409199061643,18.47,0.56,0.030319436924742833,-4.42,-1.43,-1.11,4.645567780153466,13.63,-105.17,-25.31
NGC 6569,NGC 6569,S2,273.411667,-31.826889,10.53,0.26,0.0246913580246913,-4.142,-7.333,0.01,0.0089999999999999,0.16,0.001175012056598737,-49.83,0.5,0.010034115994380895,-2.28,0.09,-1.23,2.28177562437677,33.52,-168.57,24.53
IC 4499,IC 4499,S3,225.077188,-82.213792,18.89,0.25,0.0132345156167284,0.457,-0.4919999999999999,0.007,0.007,-0.05,0.010681155010646122,38.41,0.31,0.00807081489195522,-2.56,-14.07,-6.61,14.30099646877797,-30.75,247.81,-61.21
NGC 3201,NGC 3201,S3,154.403427,-46.412476,4.74,0.04,0.0084388185654008,8.349999999999998,-1.976,0.005,0.005,0.1799999999999999,0.0005587091574365291,495.39,0.0599999999999999,0.00012111669593653465,7.59,-4.65,0.71,8.901157228136126,-249.99,-199.09,148.84
PAL 13,PAL 13,S3,346.68519,12.771539,23.48,0.4,0.0170357751277683,1.74,0.116,0.039,0.032,0.11,0.022481645771449427,25.3,0.22,0.008695652173913044,7.31,17.23,-15.92,18.716543484308207,161.51,216.8,-77.87
ESO 456 SC29,ESO 456-SC29,S4,269.651,-32.02,8.269999999999998,0.67,0.0810157194679564,-8.044,-8.048999999999998,0.0379999999999999,0.031,0.4199999999999999,0.0036202031444712863,78.94,1.44,0.018241702558905497,-0.07,-0.18,-0.57,0.19313207915827965,-88.72,-179.91,119.01
NGC 6624,NGC 6624,S4,275.918793,-30.361029,8.019999999999998,0.11,0.013715710723192,0.127,-6.956,0.014,0.014,-0.01,0.0020126828284399473,54.79,0.4,0.007300602299689725,0.24,0.39,-1.1,0.45793012567421243,-59.64,20.64,-122.99
NGC 6652,NGC 6652,S4,278.940125,-32.990723,9.46,0.14,0.014799154334038,-5.496,-4.25,0.012,0.012,0.07,0.0017847761734027412,-95.37,0.8599999999999999,0.009017510747614551,-1.1,0.25,-1.87,1.1280514172678477,46.85,-26.61,165.75
