potential,lane,lookback_Gyr,pass,H_primary_Gyr,H_distribution_Gyr,H_F_Gyr
Irrgang13III,TV_diagnostic,0.25,True,6.0,6.0,6.0
Irrgang13III,TV_diagnostic,0.5,True,6.0,6.0,6.0
Irrgang13III,TV_diagnostic,1.0,True,6.0,6.0,6.0
Irrgang13III,TV_diagnostic,2.0,True,6.0,6.0,6.0
Irrgang13III,TV_diagnostic,4.0,True,6.0,6.0,6.0
Irrgang13III,TV_diagnostic,6.0,True,6.0,6.0,6.0
Irrgang13III,distribution,0.25,True,6.0,6.0,6.0
Irrgang13III,distribution,0.5,True,6.0,6.0,6.0
Irrgang13III,distribution,1.0,True,6.0,6.0,6.0
Irrgang13III,distribution,2.0,True,6.0,6.0,6.0
Irrgang13III,distribution,4.0,True,6.0,6.0,6.0
Irrgang13III,distribution,6.0,True,6.0,6.0,6.0
Irrgang13III,primary,0.25,True,6.0,6.0,6.0
Irrgang13III,primary,0.5,True,6.0,6.0,6.0
Irrgang13III,primary,1.0,True,6.0,6.0,6.0
Irrgang13III,primary,2.0,True,6.0,6.0,6.0
Irrgang13III,primary,4.0,True,6.0,6.0,6.0
Irrgang13III,primary,6.0,True,6.0,6.0,6.0
McMillan17,TV_diagnostic,0.25,True,0.5,0.0,0.0
McMillan17,TV_diagnostic,0.5,True,0.5,0.0,0.0
McMillan17,TV_diagnostic,1.0,False,0.5,0.0,0.0
McMillan17,TV_diagnostic,2.0,True,0.5,0.0,0.0
McMillan17,TV_diagnostic,4.0,False,0.5,0.0,0.0
McMillan17,TV_diagnostic,6.0,False,0.5,0.0,0.0
McMillan17,distribution,0.25,False,0.5,0.0,0.0
McMillan17,distribution,0.5,True,0.5,0.0,0.0
McMillan17,distribution,1.0,False,0.5,0.0,0.0
McMillan17,distribution,2.0,False,0.5,0.0,0.0
McMillan17,distribution,4.0,False,0.5,0.0,0.0
McMillan17,distribution,6.0,False,0.5,0.0,0.0
McMillan17,primary,0.25,True,0.5,0.0,0.0
McMillan17,primary,0.5,True,0.5,0.0,0.0
McMillan17,primary,1.0,False,0.5,0.0,0.0
McMillan17,primary,2.0,False,0.5,0.0,0.0
McMillan17,primary,4.0,False,0.5,0.0,0.0
McMillan17,primary,6.0,False,0.5,0.0,0.0
