cluster_key,stratum,potential,functional_state
ESO 456 SC29,S4,Irrgang13III,FULL_FUNCTIONAL_STABILITY
ESO 456 SC29,S4,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
IC 4499,S3,Irrgang13III,FULL_FUNCTIONAL_STABILITY
IC 4499,S3,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 3201,S3,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 3201,S3,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6304,S2,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6304,S2,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6402,S1,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6402,S1,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6441,S2,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6441,S2,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6522,S1,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6522,S1,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6544,S1,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6544,S1,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6569,S2,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6569,S2,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6624,S4,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6624,S4,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
NGC 6652,S4,Irrgang13III,FULL_FUNCTIONAL_STABILITY
NGC 6652,S4,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
PAL 13,S3,Irrgang13III,FULL_FUNCTIONAL_STABILITY
PAL 13,S3,McMillan17,TIDAL_FUNCTIONAL_CONVERGENCE_UNRESOLVED
