chaos_index,cluster_key,stratum,potential,direction_id,tolerance_level,lambda_6Gyr_Gyr_minus1,N_L_6Gyr
0,NGC 6522,S1,Irrgang13III,A,C1,1.1559223714281308,6.935534228568785
1,NGC 6522,S1,Irrgang13III,A,C2,1.155921358995418,6.935528153972508
2,NGC 6522,S1,Irrgang13III,B,C1,1.4369994672859796,8.621996803715877
3,NGC 6522,S1,Irrgang13III,B,C2,1.4369987309638732,8.621992385783239
4,NGC 6522,S1,McMillan17,A,C1,0.8820104801993058,5.292062881195835
5,NGC 6522,S1,McMillan17,A,C2,0.8820093423339819,5.292056054003892
6,NGC 6522,S1,McMillan17,B,C1,1.2431931817055,7.459159090232999
7,NGC 6522,S1,McMillan17,B,C2,1.2431676223376,7.459005734025601
8,NGC 6544,S1,Irrgang13III,A,C1,7.823653141794696,46.941918850768175
9,NGC 6544,S1,Irrgang13III,A,C2,8.28079518799516,49.68477112797096
10,NGC 6544,S1,Irrgang13III,B,C1,9.771033855215466,58.6262031312928
11,NGC 6544,S1,Irrgang13III,B,C2,9.000856045464234,54.00513627278541
12,NGC 6544,S1,McMillan17,A,C1,4.329803390032891,25.97882034019735
13,NGC 6544,S1,McMillan17,A,C2,4.383449100783602,26.30069460470161
14,NGC 6544,S1,McMillan17,B,C1,4.711935512020074,28.271613072120445
15,NGC 6544,S1,McMillan17,B,C2,4.497502289592375,26.985013737554247
16,NGC 6402,S1,Irrgang13III,A,C1,6.847303417052001,41.08382050231201
17,NGC 6402,S1,Irrgang13III,A,C2,7.361738245148201,44.170429470889204
18,NGC 6402,S1,Irrgang13III,B,C1,6.968305420137005,41.80983252082203
19,NGC 6402,S1,Irrgang13III,B,C2,8.061221842927331,48.36733105756399
20,NGC 6402,S1,McMillan17,A,C1,1.0151907071441597,6.091144242864958
21,NGC 6402,S1,McMillan17,A,C2,1.0151899909188515,6.09113994551311
22,NGC 6402,S1,McMillan17,B,C1,0.9501403524060898,5.700842114436539
23,NGC 6402,S1,McMillan17,B,C2,0.9501367892481092,5.700820735488655
24,NGC 6304,S2,Irrgang13III,A,C1,1.1102866948504733,6.661720169102839
25,NGC 6304,S2,Irrgang13III,A,C2,1.1102870585767537,6.661722351460522
26,NGC 6304,S2,Irrgang13III,B,C1,1.2033293423501157,7.2199760541006945
27,NGC 6304,S2,Irrgang13III,B,C2,1.2033295306899465,7.21997718413968
28,NGC 6304,S2,McMillan17,A,C1,1.1080791526702363,6.648474916021417
