cluster_key,stratum,potential,chaos_class,N_L_min,N_L_median,N_L_max,N_L_max_over_min,lambda_median_Gyr_minus1,tau_L_median_Gyr
NGC 6402,S1,Irrgang13III,ROBUST_MATERIAL_CHAOS,41.08382050231201,42.990130995855615,48.36733105756399,1.1772841587320755,7.165021832642603,0.1395669159644668
NGC 6522,S1,Irrgang13III,ROBUST_MATERIAL_CHAOS,6.935528153972508,7.778763307176012,8.621996803715877,1.2431636945742048,1.296460551196002,0.7713308353867666
NGC 6544,S1,Irrgang13III,ROBUST_MATERIAL_CHAOS,46.941918850768175,51.844953700378184,58.6262031312928,1.248909387740834,8.640825616729696,0.11572968190260402
NGC 6304,S2,Irrgang13III,ROBUST_MATERIAL_CHAOS,6.661720169102839,6.940849202780608,7.21997718413968,1.0838007302717465,1.1568082004634346,0.864447537283523
NGC 6441,S2,Irrgang13III,ROBUST_MATERIAL_CHAOS,5.311344518253756,5.68555293743894,6.059762308674809,1.1409092910182965,0.9475921562398233,1.0553063292209364
NGC 6569,S2,Irrgang13III,ROBUST_MATERIAL_CHAOS,7.139792120427112,7.204766053965074,7.26973959288752,1.0182004560172873,1.2007943423275123,0.8327820716257619
IC 4499,S3,Irrgang13III,ROBUST_MATERIAL_CHAOS,3.5794495390982757,3.943838947758305,4.3082283633149885,1.203600809637424,0.6573064912930509,1.5213602988049058
NGC 3201,S3,Irrgang13III,ROBUST_MATERIAL_CHAOS,4.5113444923745405,4.615061437615405,4.718778384097273,1.0459805036111418,0.7691769062692342,1.300091034779418
PAL 13,S3,Irrgang13III,ROBUST_MATERIAL_CHAOS,2.5779462727723432,3.350107031185333,4.1222677989518415,1.5990510905872073,0.5583511718642221,1.7909875547698797
ESO 456 SC29,S4,Irrgang13III,ROBUST_MATERIAL_CHAOS,8.91015774273984,9.64882912625037,10.387495572391503,1.1658037794959832,1.608138187708395,0.6218371080566186
NGC 6624,S4,Irrgang13III,ROBUST_MATERIAL_CHAOS,183.0921564583333,191.7905182623938,198.4108792128095,1.0836667340141484,31.965086377065635,0.03128413257526755
NGC 6652,S4,Irrgang13III,ROBUST_MATERIAL_CHAOS,52.562312948949625,89.91292310918853,111.27280401958276,2.116969322252901,14.985487184864754,0.06673123053416599
NGC 6402,S1,McMillan17,ROBUST_MATERIAL_CHAOS,5.700820735488655,5.895991029974825,6.091144242864958,1.0684679497017802,0.9826651716624707,1.0176406255532617
NGC 6522,S1,McMillan17,ROBUST_MATERIAL_CHAOS,5.292056054003892,6.375534307610717,7.459159090232999,1.4095011492914005,1.062589051268453,0.9410975944145687
NGC 6544,S1,McMillan17,ROBUST_MATERIAL_CHAOS,25.97882034019735,26.64285417112793,28.271613072120445,1.0882562295708027,4.440475695187988,0.225201097504862
NGC 6304,S2,McMillan17,ROBUST_MATERIAL_CHAOS,6.648474916021417,6.859855142606281,7.07123571575845,1.0635876355219853,1.1433091904343802,0.8746540379160843
NGC 6441,S2,McMillan17,ROBUST_MATERIAL_CHAOS,5.410545620893958,5.587763140453276,5.7649795610759,1.0655079847794315,0.9312938567422129,1.0737749344746352
NGC 6569,S2,McMillan17,ROBUST_MATERIAL_CHAOS,6.333421581243384,6.423498924856826,6.51357836471799,1.0284454115620767,1.0705831541428044,0.934070367285651
IC 4499,S3,McMillan17,ROBUST_MATERIAL_CHAOS,3.521815161383379,3.876092413259402,4.2303696830202835,1.20119015029698,0.6460154022099003,1.5479507091923557
NGC 3201,S3,McMillan17,ROBUST_MATERIAL_CHAOS,5.115400443024338,5.198123254381775,5.280846080394644,1.032342656105431,0.8663538757302959,1.154262741835196
PAL 13,S3,McMillan17,ROBUST_MATERIAL_CHAOS,1.7566202192049816,2.4369319182244604,3.1172438261341684,1.7745690229758277,0.4061553197040767,2.462112279431909
ESO 456 SC29,S4,McMillan17,ROBUST_MATERIAL_CHAOS,7.869826801494574,7.909233193308803,7.948637899238694,1.0100143370028363,1.3182055322181339,0.7586070423458988
NGC 6624,S4,McMillan17,ROBUST_MATERIAL_CHAOS,6.188016706774608,6.6508651020095595,7.114353930882484,1.1496985654698908,1.1084775170015932,0.9021382794528638
NGC 6652,S4,McMillan17,ROBUST_MATERIAL_CHAOS,6.2314937981551,6.5800123242405455,6.928528143879369,1.1118567021491113,1.0966687207067576,0.9118523954577107
