window_Gyr,scalar,scalar_PASS,all_four_within_PASS,cross_family_PASS,cross_family_X_over_E,dop853_c_within_PASS,dopr54_c_within_PASS,symplec4_c_within_PASS,symplec6_c_within_PASS
0.25,I_tide,True,True,True,0.03959380742887693,True,True,True,True
0.25,Q_tide,True,True,True,0.03145209811229763,True,True,True,True
0.25,norm_q50,False,False,True,0.03856927298010821,False,False,True,True
0.25,norm_q90,True,True,True,0.04365866580056439,True,True,True,True
0.25,norm_q99,True,True,True,0.03408391941512118,True,True,True,True
0.25,norm_peak,True,True,True,0.033889881369172516,True,True,True,True
0.5,I_tide,True,True,True,0.05302473640607253,True,True,True,True
0.5,Q_tide,True,True,True,0.05389434145672765,True,True,True,True
0.5,norm_q50,True,True,True,0.045143857651946756,True,True,True,True
0.5,norm_q90,True,True,True,0.0329559103201791,True,True,True,True
0.5,norm_q99,True,True,True,0.04756397603005646,True,True,True,True
0.5,norm_peak,True,True,True,0.033889881369172516,True,True,True,True
1,I_tide,False,False,True,0.021359330347353336,True,True,True,False
1,Q_tide,False,False,True,0.047095567994812376,True,True,False,True
1,norm_q50,True,True,True,0.022437222674736947,True,True,True,True
1,norm_q90,True,True,True,0.43922054566424534,True,True,True,True
1,norm_q99,False,False,True,0.07873110440668481,True,True,False,True
1,norm_peak,True,True,True,0.033889881369172516,True,True,True,True
2,I_tide,True,True,True,0.17214953373055694,True,True,True,True
2,Q_tide,False,False,True,0.0014454516329224854,False,True,True,True
2,norm_q50,True,True,True,0.4249219099521911,True,True,True,True
2,norm_q90,False,False,True,0.43922054566424534,True,True,True,False
2,norm_q99,False,False,True,0.19535714304370752,True,True,False,True
2,norm_peak,True,True,True,0.033889881369172516,True,True,True,True
4,I_tide,True,True,True,0.07223718400829457,True,True,True,True
4,Q_tide,False,False,True,0.10166910341832697,True,False,False,True
4,norm_q50,False,False,True,0.06757170944417422,True,False,False,True
4,norm_q90,True,True,True,0.5083764567291332,True,True,True,True
4,norm_q99,False,False,True,0.06445884870226513,True,True,False,False
4,norm_peak,False,False,True,0.09419601586410983,True,True,False,True
6,I_tide,True,True,True,0.05604461490614577,True,True,True,True
6,Q_tide,False,False,True,0.11527547570126988,True,True,False,True
6,norm_q50,False,False,True,0.06565392688269579,True,False,True,True
6,norm_q90,False,False,True,0.39236487312296364,True,True,True,False
6,norm_q99,False,False,True,0.15491643348517392,True,True,False,True
6,norm_peak,False,False,True,0.09419601586410983,True,True,False,True
