cluster_key,cluster_key_registry,stratum,distance_frac_sigma,pm_vector_frac_sigma,vlos_abs_frac_sigma
NGC 6402,NGC 6402,S1,0.0273522975929978,0.0010202635023777297,0.007412287926206556
NGC 6522,NGC 6522,S1,0.0288065843621399,0.0018054638284826783,0.03217334208798423
NGC 6544,NGC 6544,S1,0.0232558139534883,0.0013897879087070345,0.017420696827873117
NGC 6304,NGC 6304,S2,0.024390243902439,0.0028635865245215247,0.003590498987295157
NGC 6441,NGC 6441,S2,0.0125687352710133,0.00357409199061643,0.030319436924742833
NGC 6569,NGC 6569,S2,0.0246913580246913,0.001175012056598737,0.010034115994380895
IC 4499,IC 4499,S3,0.0132345156167284,0.010681155010646122,0.00807081489195522
NGC 3201,NGC 3201,S3,0.0084388185654008,0.0005587091574365291,0.00012111669593653465
PAL 13,PAL 13,S3,0.0170357751277683,0.022481645771449427,0.008695652173913044
ESO 456 SC29,ESO 456-SC29,S4,0.0810157194679564,0.0036202031444712863,0.018241702558905497
NGC 6624,NGC 6624,S4,0.013715710723192,0.0020126828284399473,0.007300602299689725
NGC 6652,NGC 6652,S4,0.014799154334038,0.0017847761734027412,0.009017510747614551
