cluster_key,ra_deg,dec_deg,distance_kpc,distance_sigma_kpc,pmra_masyr,pmdec_masyr,pmra_sigma_masyr,pmdec_sigma_masyr,pmra_pmdec_corr,vlos_kms,vlos_sigma_kms,pm_cov_ra_ra_mas2yr2,pm_cov_ra_dec_mas2yr2,pm_cov_dec_dec_mas2yr2,pm_cov_det,pm_cov_min_eig,pm_cov_max_eig,position_sampling,pm_sampling,distance_sampling,vlos_sampling,pm_distance_cross_covariance,rv_astrometry_cross_covariance,additional_pm_systematic_floor,distance_frac_sigma,pm_corr_abs,X_kpc,Y_kpc,Z_kpc,U_kms,V_kms,W_kms,R_GC_kpc
2MASS-GC01,272.090851,-19.829723,3.37,0.62,-1.366,-1.754,0.2859999999999999,0.227,0.28,-35.58,0.3499999999999999,0.0817959999999999,0.0181781599999999,0.051529,0.0038844205830143,0.0430094172572453,0.0903155827427546,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.1839762611275964,0.28,4.86,0.61,0.01,17.52,211.23,12.67,4.898132297110808
2MASS-GC02,272.4021,-20.778889,5.5,0.44,-2.924,-3.776,0.22,0.1739999999999999,0.4699999999999999,-87.5,2.83,0.0483999999999999,0.0179915999999999,0.0302759999999999,0.00114166072944,0.0191930871295009,0.059482912870499,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.08,0.4699999999999999,2.76,0.93,-0.06,54.01,116.1,27.3,2.9124731758421394
AM 1,58.759586,-49.615276,118.91,3.4,0.384,-0.196,0.066,0.082,-0.2099999999999999,118.0,14.14,0.004356,-0.00113652,0.006724,2.7998066289600005e-05,0.0038988011362421,0.0071811988637578,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0285930535699268,0.2099999999999999,24.08,-77.21,-89.01,-7.19,-8.91,76.86,80.877873982938
AM 4,209.089066,-27.165171,29.01,0.94,-0.538,-2.485,0.3059999999999999,0.3489999999999999,-0.46,151.19,2.85,0.0936359999999999,-0.0491252399999999,0.1218009999999999,0.0089916692309423,0.0566146252808791,0.1588223747191208,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0324026197862805,0.46,-10.43,-15.46,16.02,-126.95,-68.39,-162.9,18.649302936034903
ARP 2,292.183807,-30.355639,28.73,0.34,-2.317,-1.487,0.012,0.01,0.2099999999999999,122.64,0.2899999999999999,0.000144,2.5200000000000003e-05,0.0001,1.3764960000000002e-08,8.85479447567119e-05,0.0001554520552432,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0118343195266272,0.2099999999999999,-18.38,3.99,-10.19,-248.46,-13.89,175.88,18.808096660746934
BH 140,193.472915,-67.177276,4.81,0.25,-14.901,1.258,0.069,0.0729999999999999,0.17,90.3,0.3499999999999999,0.004761,0.00085629,0.0053289999999999,2.46381364359e-05,0.0041428422731584,0.0059471577268415,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0519750519750519,0.17,5.55,-4.01,-0.36,222.36,-10.8,32.29,6.847086971844304
BH 261,273.5275,-28.635,6.12,0.26,3.589,-3.57,0.0219999999999999,0.02,0.25,-60.0,2.24,0.0004839999999999,0.0001099999999999,0.0004,1.815e-07,0.0003242545117637,0.0005597454882362,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0424836601307189,0.25,2.1,0.36,-0.56,58.95,205.82,-127.18,2.1306337085477645
CRATER,174.06875,-10.876972,147.23,4.27,-0.0129999999999999,-0.132,0.112,0.095,-0.27,148.1,0.65,0.012544,-0.0028728,0.009025,0.00010495662016,0.0074156990130018,0.0141533009869981,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0290022413910208,0.27,-0.11,-98.46,109.15,-56.16,91.39,58.51,98.46006144625342
DJOR 1,266.869583,-33.066389,9.88,0.65,-4.725,-8.47,0.028,0.021,-0.02,-359.18,1.64,0.000784,-1.1760000000000004e-05,0.000441,3.456057024000001e-07,0.0004405972728546,0.0007844027271453,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0657894736842105,0.02,-1.68,-0.57,-0.43,374.13,-180.09,7.5,1.774063133036702
E 3,140.237793,-77.281891,7.88,0.25,-2.734,7.088,0.025,0.025,0.02,11.7,0.4199999999999999,0.000625,1.25e-05,0.000625,3.904687500000002e-07,0.0006125,0.0006375,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.031725888324873,0.02,5.36,-6.89,-2.57,218.34,111.39,97.28,8.729358510222845
