chaos_class,cluster_key,combined_label,functional_class,potential,primary_conjunction_satisfied,stratum
ROBUST_MATERIAL_CHAOS,NGC 6522,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S1
ROBUST_MATERIAL_CHAOS,NGC 6544,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S1
ROBUST_MATERIAL_CHAOS,NGC 6402,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S1
ROBUST_MATERIAL_CHAOS,NGC 6304,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S2
ROBUST_MATERIAL_CHAOS,NGC 6441,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S2
ROBUST_MATERIAL_CHAOS,NGC 6569,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S2
ROBUST_MATERIAL_CHAOS,IC 4499,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S3
ROBUST_MATERIAL_CHAOS,NGC 3201,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S3
ROBUST_MATERIAL_CHAOS,PAL 13,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S3
ROBUST_MATERIAL_CHAOS,ESO 456 SC29,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S4
ROBUST_MATERIAL_CHAOS,NGC 6624,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S4
ROBUST_MATERIAL_CHAOS,NGC 6652,CHAOTIC_BUT_TIDAL_MEMORY_FUNCTIONALLY_STABLE,FULL_FUNCTIONAL_STABILITY,Irrgang13III,True,S4
