cluster_key,ra_deg,dec_deg,distance_kpc,distance_sigma_kpc,pmra_masyr,pmdec_masyr,pmra_sigma_masyr,pmdec_sigma_masyr,pmra_pmdec_corr,vlos_kms,vlos_sigma_kms,pm_cov_ra_ra_mas2yr2,pm_cov_ra_dec_mas2yr2,pm_cov_dec_dec_mas2yr2,pm_cov_det,pm_cov_min_eig,pm_cov_max_eig,position_sampling,pm_sampling,distance_sampling,vlos_sampling,pm_distance_cross_covariance,rv_astrometry_cross_covariance,additional_pm_systematic_floor,distance_frac_sigma,pm_corr_abs
2MASS-GC01,272.09085099999999,-19.829723000000001,3.3700000000000001,0.62,-1.3660000000000001,-1.754,0.28599999999999998,0.22700000000000001,0.28000000000000003,-35.579999999999998,0.34999999999999998,0.08179599999999998,0.018178159999999999,0.051529000000000005,0.0038844205830143993,0.043009417257245303,0.090315582742754669,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.18397626112759644,0.28000000000000003
2MASS-GC02,272.40210000000002,-20.778888999999999,5.5,0.44,-2.9239999999999999,-3.7759999999999998,0.22,0.17399999999999999,0.46999999999999997,-87.5,2.8300000000000001,0.048399999999999999,0.017991599999999996,0.030275999999999997,0.00114166072944,0.019193087129500908,0.059482912870499088,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.080000000000000002,0.46999999999999997
AM 1,58.759585999999999,-49.615276000000001,118.91,3.3999999999999999,0.38400000000000001,-0.19600000000000001,0.066000000000000003,0.082000000000000003,-0.20999999999999999,118,14.140000000000001,0.0043560000000000005,-0.00113652,0.0067240000000000008,2.7998066289600005e-05,0.0038988011362421681,0.0071811988637578332,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.028593053569926835,0.20999999999999999
AM 4,209.089066,-27.165171000000001,29.010000000000002,0.93999999999999995,-0.53800000000000003,-2.4849999999999999,0.30599999999999999,0.34899999999999998,-0.46000000000000002,151.19,2.8500000000000001,0.093635999999999997,-0.049125239999999994,0.12180099999999998,0.0089916692309423979,0.056614625280879148,0.15882237471912083,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.03240261978628059,0.46000000000000002
ARP 2,292.183807,-30.355639,28.73,0.34000000000000002,-2.3170000000000002,-1.4870000000000001,0.012,0.01,0.20999999999999999,122.64,0.28999999999999998,0.000144,2.5200000000000003e-05,0.0001,1.3764960000000002e-08,8.85479447567119e-05,0.00015545205524328812,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.01183431952662722,0.20999999999999999
BH 140,193.472915,-67.177276000000006,4.8099999999999996,0.25,-14.901,1.258,0.069000000000000006,0.072999999999999995,0.17000000000000001,90.299999999999997,0.34999999999999998,0.0047610000000000005,0.00085629000000000011,0.0053289999999999995,2.4638136435899999e-05,0.004142842273158402,0.005947157726841598,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.051975051975051978,0.17000000000000001
BH 261,273.52749999999997,-28.635000000000002,6.1200000000000001,0.26000000000000001,3.589,-3.5699999999999998,0.021999999999999999,0.02,0.25,-60,2.2400000000000002,0.00048399999999999995,0.00010999999999999999,0.00040000000000000002,1.8149999999999998e-07,0.00032425451176371984,0.00055974548823628024,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.042483660130718956,0.25
CRATER,174.06874999999999,-10.876972,147.22999999999999,4.2699999999999996,-0.012999999999999999,-0.13200000000000001,0.112,0.095000000000000001,-0.27000000000000002,148.09999999999999,0.65000000000000002,0.012544000000000001,-0.0028728000000000004,0.009025,0.00010495662016,0.0074156990130018075,0.014153300986998194,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.029002241391020849,0.27000000000000002
DJOR 1,266.86958299999998,-33.066389000000001,9.8800000000000008,0.65000000000000002,-4.7249999999999996,-8.4700000000000006,0.028000000000000001,0.021000000000000001,-0.02,-359.18000000000001,1.6399999999999999,0.00078400000000000008,-1.1760000000000003e-05,0.00044100000000000004,3.4560570240000009e-07,0.0004405972728546752,0.00078440272714532498,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.065789473684210523,0.02
E 3,140.23779300000001,-77.281891000000002,7.8799999999999999,0.25,-2.734,7.0880000000000001,0.025000000000000001,0.025000000000000001,0.02,11.699999999999999,0.41999999999999998,0.00062500000000000012,1.2500000000000001e-05,0.00062500000000000012,3.9046875000000015e-07,0.00061250000000000009,0.00063750000000000015,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.031725888324873094,0.02
ERIDANUS,66.185608000000002,-21.186781,84.680000000000007,2.8900000000000001,0.47699999999999998,-0.29499999999999998,0.029000000000000001,0.035000000000000003,-0.23000000000000001,-22.91,0.71999999999999997,0.00084100000000000006,-0.00023345000000000004,0.0012250000000000002,9.757260975000001e-07,0.00073073703088204797,0.0013352629691179522,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.0341284837033538,0.23000000000000001
ESO 280-SC06,272.27499999999998,-46.423333,20.949999999999999,0.65000000000000002,-0.69499999999999995,-2.7759999999999998,0.02,0.016,0.23000000000000001,93.200000000000003,0.34000000000000002,0.00040000000000000002,7.36e-05,0.00025599999999999999,9.6983040000000002e-08,0.00022503903652354451,0.0004309609634764555,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.031026252983293558,0.23000000000000001
ESO 452-SC11,249.85416699999999,-28.399166999999998,7.3899999999999997,0.20000000000000001,-1.4370000000000001,-6.4710000000000001,0.024,0.021999999999999999,-0.25,16.75,0.44,0.00057600000000000001,-0.00013199999999999998,0.00048399999999999995,2.6135999999999995e-07,0.00039021444995994756,0.00066978555004005235,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.027063599458728015,0.25
ESO 456-SC29,269.65100000000001,-32.020000000000003,8.2699999999999996,0.67000000000000004,-8.0440000000000005,-8.0489999999999995,0.037999999999999999,0.031,0.41999999999999998,78.939999999999998,1.4399999999999999,0.001444,0.0004947599999999999,0.00096099999999999994,1.1428965423999999e-06,0.00065194599937880759,0.0017530540006211923,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.081015719467956479,0.41999999999999998
ESO 456-SC38,270.45437800000002,-27.825818999999999,8.7599999999999998,0.17999999999999999,0.71999999999999997,-3.0030000000000001,0.021000000000000001,0.017999999999999999,0.01,-149.75,1.1000000000000001,0.00044100000000000004,3.7799999999999998e-06,0.00032399999999999996,1.4286971159999999e-07,0.00032387800412814313,0.00044112199587185692,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.020547945205479451,0.01
FSR 1716,242.625,-53.748888999999998,7.4299999999999997,0.27000000000000002,-4.407,-8.8620000000000001,0.029000000000000001,0.025999999999999999,-0.11,-30.699999999999999,0.97999999999999998,0.00084100000000000006,-8.2940000000000002e-05,0.00067599999999999995,5.6163695639999994e-07,0.00064151584038853811,0.00087548415961146201,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.036339165545087489,0.11
FSR 1735,253.044174,-47.058056000000001,9.0800000000000001,0.53000000000000003,-4.5700000000000003,-1.5149999999999999,0.053999999999999999,0.045999999999999999,-0.11,-69.849999999999994,4.8799999999999999,0.0029159999999999998,-0.00027324000000000001,0.0021159999999999998,6.0955959023999989e-06,0.0020315827236771999,0.0030004172763228002,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.058370044052863439,0.11
FSR 1758,262.80000000000001,-39.808,11.09,0.73999999999999999,-2.875,2.5089999999999999,0.0080000000000000002,0.0070000000000000001,0.080000000000000002,227.31,0.58999999999999997,6.3999999999999997e-05,4.4800000000000003e-06,4.9000000000000005e-05,3.1159296000000003e-09,4.7763845239466062e-05,6.5236154760533948e-05,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.066726780883678991,0.080000000000000002
GRAN 2,257.88999999999999,-24.849,15.84,1.55,0.22700000000000001,-2.5680000000000001,0.027,0.021999999999999999,-0.02,53.219999999999999,1.6699999999999999,0.00072899999999999994,-1.188e-05,0.00048399999999999995,3.526948655999999e-07,0.0004834252893564238,0.00072957471064357608,FIXED_CENTRE,CORRELATED_GAUSSIAN_2D,TRUNCATED_GAUSSIAN_D_GT_0,GAUSSIAN_1D,UNPUBLISHED_ASSUMED_ZERO_BASELINE,UNPUBLISHED_ASSUMED_ZERO_BASELINE,NONE_DO_NOT_DOUBLE_COUNT,0.097853535353535359,0.02
