cluster_key,X_kpc,Y_kpc,Z_kpc,U_kms,V_kms,W_kms
2MASS-GC01,4.86,0.61,0.01,17.52,211.23,12.67
2MASS-GC02,2.76,0.93,-0.06,54.01,116.1,27.3
AM 1,24.08,-77.21,-89.01,-7.19,-8.91,76.86
AM 4,-10.43,-15.46,16.02,-126.95,-68.39,-162.9
ARP 2,-18.38,3.99,-10.19,-248.46,-13.89,175.88
BH 140,5.55,-4.01,-0.36,222.36,-10.8,32.29
BH 261,2.1,0.36,-0.56,58.95,205.82,-127.18
CRATER,-0.11,-98.46,109.15,-56.16,91.39,58.51
DJOR 1,-1.68,-0.57,-0.43,374.13,-180.09,7.5
E 3,5.36,-6.89,-2.57,218.34,111.39,97.28
ERIDANUS,58.21,-39.24,-55.93,-55.48,68.3,131.3
ESO 280-SC06,-11.73,-4.63,-4.56,-23.96,-35.85,-71.97
ESO 452-SC11,1.03,-1.02,1.55,-20.8,43.24,-94.85
ESO 456-SC29,-0.07,-0.18,-0.57,-88.72,-179.91,119.01
ESO 456-SC38,-0.57,0.42,-0.38,137.64,151.13,-73.65
FSR 1716,1.76,-3.74,-0.21,182.51,-12.33,-115.33
FSR 1735,-0.31,-3.23,-0.29,113.12,111.87,120.05
FSR 1758,-2.69,-2.07,-0.64,-250.44,235.01,192.45
GRAN 2,-7.48,-0.21,2.36,-80.46,103.84,-108.8
GRAN 3,-3.09,-2.04,0.68,-74.88,134.19,195.87
GRAN 5,3.29,0.38,0.16,27.97,-1.55,0.7
HP 1,1.19,-0.31,0.26,-49.6,16.99,-243.09
IC 1257,-16.43,7.3,6.95,55.77,-5.13,-13.47
IC 1276,3.97,1.69,0.45,-196.33,204.37,24.13
IC 4499,-2.56,-14.07,-6.61,-30.75,247.81,-61.21
LAEVENS 3,-17.44,51.59,-22.31,-68.19,74.23,-144.15
LILLER 1,0.15,-0.72,-0.02,-41.46,-83.37,28.07
LYNGA 7,1.43,-4.09,-0.39,125.71,1.23,-89.33
NGC 104,6.3,-2.59,-3.19,77.52,170.83,46.02
NGC 1261,8.08,-10.07,-12.95,-78.82,57.52,68.81
NGC 1851,12.39,-8.83,-6.86,81.45,-68.15,-83.31
NGC 1904,15.92,-8.37,-6.41,43.71,-17.22,5.41
NGC 2298,12.08,-8.61,-2.71,-79.73,34.25,67.05
NGC 2419,88.2,-0.52,37.73,-6.07,33.7,-55.89
NGC 2808,6.09,-9.64,-1.96,-56.43,149.3,30.31
NGC 288,8.26,0.05,-8.99,4.2,-48.34,50.29
NGC 3201,7.59,-4.65,0.71,-249.99,-199.09,148.84
NGC 362,4.98,-5.2,-6.38,93.45,-98.32,-67.93
NGC 4147,9.39,-3.93,18.07,40.11,-12.89,130.14
NGC 4372,5.28,-4.82,-0.98,100.02,84.28,64.83
NGC 4590,4.02,-7.31,6.12,170.43,289.18,16.43
NGC 4833,4.63,-5.34,-0.9,95.21,-54.95,-42.21
NGC 5024,5.25,-1.49,18.2,-57.27,155.76,-72.49
NGC 5053,5.11,-1.38,17.21,-52.79,150.82,35.3
NGC 5139,4.87,-4.07,1.4,-95.98,-21.69,-86.82
NGC 5272,6.7,1.34,9.98,-65.3,127.78,-134.17
NGC 5286,0.93,-8.16,2.03,-58.91,210.15,8.54
NGC 5466,4.8,3.06,15.46,217.9,-33.47,225.06
NGC 5634,-7.95,-5.18,19.67,59.05,-14.26,-26.56
NGC 5694,-18.13,-14.55,17.61,114.37,144.79,-170.18
NGC 5824,-17.9,-13.55,11.92,97.4,-61.59,-179.17
NGC 5897,-2.18,-3.18,6.33,34.52,-129.35,91.18
NGC 5904,3.07,0.34,5.45,-301.43,89.62,-181.13
NGC 5927,1.3,-4.54,0.7,205.0,114.22,7.05
NGC 5946,0.06,-5.16,0.7,7.2,-21.45,98.68
NGC 5986,-1.27,-4.0,2.42,8.15,-71.93,-13.39
NGC 6093,-1.49,-1.24,3.44,-9.1,-48.78,-62.97
NGC 6101,-2.11,-9.35,-3.94,-297.01,83.88,-190.08
NGC 6121,6.42,-0.28,0.51,-56.21,45.28,-3.04
NGC 6139,-1.32,-3.02,1.21,68.39,-29.37,130.82
NGC 6144,0.41,-1.1,2.21,-184.47,106.09,43.41
NGC 6171,3.0,0.3,2.2,-10.3,93.71,-57.7
NGC 6205,5.29,4.81,4.86,30.36,-14.96,-77.75
NGC 6218,3.77,1.24,2.26,-49.03,114.68,-85.24
NGC 6229,1.71,22.03,19.47,-7.59,30.75,45.79
NGC 6235,-3.43,-0.22,2.79,-144.47,-227.91,-43.18
NGC 6254,3.68,1.22,1.99,-122.9,80.21,48.71
NGC 6256,1.11,-1.53,0.42,115.73,154.69,66.43
